0,1,2,3,4,VNF,eNB,RC0,RC1,RC2,RC3,RC4,0,1,2,3,4,exec_time,bool_reloc0,bool_reloc1,bool_reloc2,bool_reloc3,bool_reloc4
14,14,16,17,12,0,0,30,28,28,27,30,36,44,30,53,34,4,1,0,0,0,1
18,18,13,19,9,0,1,30,28,28,27,30,41,54,30,32,52,4,1,0,0,0,1
19,16,20,12,20,0,2,30,28,28,27,30,35,32,39,25,35,4,1,0,0,0,1
5,10,14,14,13,0,3,30,28,28,27,30,41,27,25,31,30,4,1,0,0,0,1
14,21,12,15,12,0,4,30,28,28,27,30,36,41,27,42,35,4,1,0,0,0,1
17,23,5,23,18,0,5,30,28,28,27,30,27,32,43,28,52,4,1,0,0,0,1
9,17,21,14,6,0,6,30,28,28,27,30,42,45,34,37,26,4,1,0,0,0,1
23,5,8,20,19,0,7,30,28,28,27,30,44,45,31,27,49,4,1,0,0,0,1
8,14,6,20,15,0,8,30,28,28,27,30,39,49,37,32,44,4,1,0,0,0,1
8,24,10,8,20,0,9,30,28,28,27,30,42,47,34,50,53,4,1,0,0,0,1
11,5,18,25,10,0,10,30,28,28,27,30,26,29,55,26,55,4,1,0,0,0,1
14,11,21,11,24,0,11,30,28,28,27,30,35,51,40,45,50,4,1,0,0,0,1
18,24,17,15,17,1,0,30,28,28,27,30,28,28,26,42,39,4,1,1,0,1,1
5,14,18,16,9,1,1,30,28,28,27,30,45,39,41,50,48,4,1,1,0,1,1
14,9,11,7,7,1,2,30,28,28,27,30,49,53,31,28,36,4,1,1,0,1,1
6,25,12,24,25,1,3,30,28,28,27,30,54,28,43,55,26,4,1,1,0,1,1
9,13,12,19,23,1,4,30,28,28,27,30,46,51,54,48,47,4,1,1,0,1,1
24,9,16,11,7,1,5,30,28,28,27,30,32,48,55,31,45,4,1,1,0,1,1
17,22,11,19,14,1,6,30,28,28,27,30,51,25,43,44,47,4,1,1,0,1,1
15,8,9,16,23,1,7,30,28,28,27,30,30,39,43,27,34,4,1,1,0,1,1
12,12,9,17,13,1,8,30,28,28,27,30,45,35,49,37,43,4,1,1,0,1,1
24,20,21,11,6,1,9,30,28,28,27,30,47,38,29,53,51,4,1,1,0,1,1
11,15,13,18,5,1,10,30,28,28,27,30,49,47,50,48,26,4,1,1,0,1,1
13,8,6,16,24,1,11,30,28,28,27,30,48,49,35,37,35,4,1,1,0,1,1
23,18,7,18,13,2,0,30,28,28,27,30,43,52,48,40,44,1,1,1,1,1,1
15,6,19,25,8,2,1,30,28,28,27,30,46,35,25,37,42,1,1,1,1,1,1
14,25,7,9,6,2,2,30,28,28,27,30,28,55,53,43,49,1,1,1,1,1,1
11,13,8,12,13,2,3,30,28,28,27,30,27,48,29,51,55,1,1,1,1,1,1
25,6,13,19,13,2,4,30,28,28,27,30,52,33,51,55,30,1,1,1,1,1,1
6,22,11,22,10,2,5,30,28,28,27,30,42,31,53,54,29,1,1,1,1,1,1
24,15,23,9,6,2,6,30,28,28,27,30,47,43,53,27,44,1,1,1,1,1,1
25,5,15,13,18,2,7,30,28,28,27,30,52,36,31,48,43,1,1,1,1,1,1
23,6,19,23,17,2,8,30,28,28,27,30,27,51,41,48,31,1,1,1,1,1,1
25,24,23,22,25,2,9,30,28,28,27,30,52,39,53,26,35,1,1,1,1,1,1
23,11,8,8,11,2,10,30,28,28,27,30,54,34,25,37,33,1,1,1,1,1,1
25,19,8,10,6,2,11,30,28,28,27,30,38,40,45,51,28,1,1,1,1,1,1
10,18,8,7,13,3,0,30,28,28,27,30,52,55,25,30,54,4,1,1,1,0,1
23,20,11,20,6,3,1,30,28,28,27,30,30,40,46,31,40,4,1,1,1,0,1
24,24,23,22,6,3,2,30,28,28,27,30,42,55,53,46,27,4,1,1,1,0,1
16,19,15,5,13,3,3,30,28,28,27,30,33,48,34,34,38,4,1,1,1,0,1
25,11,5,17,6,3,4,30,28,28,27,30,49,32,53,25,35,4,1,1,1,0,1
9,8,18,23,20,3,5,30,28,28,27,30,37,54,25,49,37,4,1,1,1,0,1
20,6,6,19,17,3,6,30,28,28,27,30,40,38,38,46,53,4,1,1,1,0,1
21,6,7,23,25,3,7,30,28,28,27,30,37,50,37,33,54,4,1,1,1,0,1
18,17,7,22,7,3,8,30,28,28,27,30,25,52,37,54,44,4,1,1,1,0,1
25,8,16,23,8,3,9,30,28,28,27,30,43,46,29,50,54,4,1,1,1,0,1
24,21,14,11,7,3,10,30,28,28,27,30,40,49,28,44,52,4,1,1,1,0,1
12,6,20,25,5,3,11,30,28,28,27,30,34,38,27,31,44,4,1,1,1,0,1
