0,1,2,3,4,VNF,eNB,RC0,RC1,RC2,RC3,RC4,0,1,2,3,4,exec_time,bool_reloc0,bool_reloc1,bool_reloc2,bool_reloc3,bool_reloc4
5,5,4,5,3,0,0,20,22,27,23,23,53,31,55,37,36,4,1,1,1,1,1
4,4,5,4,3,0,1,20,22,27,23,23,42,51,47,47,37,4,1,1,1,1,1
3,3,5,4,4,0,2,20,22,27,23,23,39,30,41,37,36,4,1,1,1,1,1
3,3,3,3,3,0,3,20,22,27,23,23,42,28,39,36,42,4,1,1,1,1,1
3,4,5,4,3,0,4,20,22,27,23,23,46,26,32,48,49,4,1,1,1,1,1
3,3,3,3,4,1,0,20,22,27,23,23,31,55,50,26,46,5,1,1,0,0,0
3,5,5,5,5,1,1,20,22,27,23,23,52,30,40,30,37,5,1,1,0,0,0
3,4,5,3,3,1,2,20,22,27,23,23,50,40,54,51,33,5,1,1,0,0,0
4,5,3,5,4,1,3,20,22,27,23,23,41,44,42,43,51,5,1,1,0,0,0
5,5,3,4,3,1,4,20,22,27,23,23,34,43,48,38,34,5,1,1,0,0,0
5,4,3,4,5,2,0,20,22,27,23,23,54,48,45,47,31,4,0,1,1,0,1
3,3,3,3,5,2,1,20,22,27,23,23,25,45,39,31,27,4,0,1,1,0,1
3,3,3,5,3,2,2,20,22,27,23,23,33,50,42,31,40,4,0,1,1,0,1
4,4,4,3,3,2,3,20,22,27,23,23,29,48,50,46,41,4,0,1,1,0,1
4,4,5,4,3,2,4,20,22,27,23,23,47,40,34,32,40,4,0,1,1,0,1
4,3,5,3,3,3,0,20,22,27,23,23,51,35,49,25,44,2,0,0,0,0,0
5,3,5,5,4,3,1,20,22,27,23,23,45,48,31,46,30,2,0,0,0,0,0
3,3,3,3,3,3,2,20,22,27,23,23,39,52,25,26,46,2,0,0,0,0,0
3,4,3,5,5,3,3,20,22,27,23,23,32,52,55,38,28,2,0,0,0,0,0
5,3,4,5,4,3,4,20,22,27,23,23,25,42,35,31,28,2,0,0,0,0,0
5,4,5,3,3,4,0,20,22,27,23,23,50,36,35,29,28,3,1,1,1,0,0
3,4,3,3,4,4,1,20,22,27,23,23,52,38,28,26,45,3,1,1,1,0,0
4,3,4,4,3,4,2,20,22,27,23,23,35,44,38,33,43,3,1,1,1,0,0
4,5,4,4,4,4,3,20,22,27,23,23,34,47,53,37,38,3,1,1,1,0,0
4,5,3,4,4,4,4,20,22,27,23,23,43,35,45,42,41,3,1,1,1,0,0
3,5,3,3,4,5,0,20,22,27,23,23,37,32,27,42,32,5,1,0,1,1,1
5,4,3,4,5,5,1,20,22,27,23,23,43,35,52,50,49,5,1,0,1,1,1
3,4,3,4,3,5,2,20,22,27,23,23,40,27,50,48,52,5,1,0,1,1,1
4,5,5,5,5,5,3,20,22,27,23,23,50,55,37,44,36,5,1,0,1,1,1
5,5,4,3,3,5,4,20,22,27,23,23,49,50,45,41,29,5,1,0,1,1,1
